date,SKU,qty,price_per_unit,tavg,prcp,tsun,sale_active,sale_percent,mmdd,day_of_week,month,is_holiday
2024-01-26,9101dx,2.0,1522.6599999999999,9.0,1.2,0.0,True,0.24,01-26,4,1,False
2024-01-27,9101dx,0.0,1295.2285826771654,3.0,0.0,510.0,True,0.24,01-27,5,1,False
2024-01-28,9101dx,0.0,1295.2285826771654,3.7,0.0,516.0,True,0.24,01-28,6,1,False
2024-01-29,9101dx,2.0,1449.58,5.5,0.0,492.0,True,0.24,01-29,0,1,False
2024-01-30,9101dx,1.0,1449.58,6.1,0.0,192.0,True,0.24,01-30,1,1,False
2024-01-31,9101dx,0.0,1295.2285826771654,8.0,0.1,54.0,True,0.24,01-31,2,1,False
2024-02-01,9101dx,0.0,1295.2285826771654,7.9,6.6,0.0,True,0.15,02-01,3,2,False
2024-02-02,9101dx,0.0,1295.2285826771654,6.9,0.0,264.0,True,0.15,02-02,4,2,False
2024-02-03,9101dx,0.0,1295.2285826771654,6.9,0.0,90.0,True,0.15,02-03,5,2,False
2024-02-04,9101dx,0.0,1295.2285826771654,8.7,0.0,84.0,True,0.15,02-04,6,2,False
2024-02-05,9101dx,1.0,1562.5,7.9,0.0,450.0,True,0.15,02-05,0,2,False
2024-02-06,9101dx,2.0,1294.2600000000002,6.2,0.0,36.0,True,0.15,02-06,1,2,False
2024-02-07,9101dx,0.0,1295.2285826771654,8.9,1.5,0.0,True,0.15,02-07,2,2,False
2024-02-08,9101dx,0.0,1295.2285826771654,11.0,2.8,0.0,True,0.15,02-08,3,2,False
2024-02-09,9101dx,0.0,1295.2285826771654,10.9,3.7,0.0,True,0.15,02-09,4,2,False
2024-02-10,9101dx,0.0,1295.2285826771654,8.3,10.0,60.0,True,0.15,02-10,5,2,False
2024-02-11,9101dx,0.0,1295.2285826771654,7.8,0.8,108.0,True,0.15,02-11,6,2,False
2024-02-12,9101dx,0.0,1295.2285826771654,7.3,0.0,36.0,True,0.15,02-12,0,2,False
2024-02-13,9101dx,0.0,1295.2285826771654,6.6,0.0,330.0,True,0.15,02-13,1,2,False
2024-02-14,9101dx,0.0,1295.2285826771654,9.1,0.0,78.0,True,0.15,02-14,2,2,False
2024-02-15,9101dx,0.0,1295.2285826771654,12.3,0.0,378.0,True,0.15,02-15,3,2,False
2024-02-16,9101dx,1.0,1232.14,12.2,5.0,126.0,True,0.15,02-16,4,2,False
2024-02-17,9101dx,0.0,1295.2285826771654,10.2,0.0,240.0,True,0.15,02-17,5,2,False
2024-02-18,9101dx,0.0,1295.2285826771654,8.4,6.4,132.0,True,0.15,02-18,6,2,False
2024-02-19,9101dx,1.0,1356.38,9.0,1.4,6.0,True,0.15,02-19,0,2,False
2024-02-20,9101dx,0.0,1295.2285826771654,7.7,0.0,270.0,True,0.15,02-20,1,2,False
2024-02-21,9101dx,0.0,1295.2285826771654,9.4,0.5,204.0,True,0.15,02-21,2,2,False
2024-02-22,9101dx,0.0,1295.2285826771654,10.1,5.6,0.0,True,0.15,02-22,3,2,False
2024-02-23,9101dx,0.0,1295.2285826771654,5.8,0.2,84.0,True,0.15,02-23,4,2,False
2024-02-24,9101dx,0.0,1295.2285826771654,5.3,0.0,228.0,True,0.15,02-24,5,2,False
2024-02-25,9101dx,0.0,1295.2285826771654,6.1,0.0,378.0,True,0.15,02-25,6,2,False
2024-02-26,9101dx,1.0,1232.14,8.9,0.1,156.0,True,0.15,02-26,0,2,False
2024-02-27,9101dx,0.0,1295.2285826771654,7.8,0.0,0.0,True,0.15,02-27,1,2,False
2024-02-28,9101dx,0.0,1295.2285826771654,5.8,0.0,0.0,True,0.15,02-28,2,2,False
2024-02-29,9101dx,0.0,1295.2285826771654,5.4,0.0,564.0,True,0.15,02-29,3,2,False
2024-03-01,9101dx,1.0,1304.62,6.4,0.7,36.0,True,0.1,03-01,4,3,False
2024-03-02,9101dx,0.0,1295.2285826771654,8.8,0.0,462.0,True,0.1,03-02,5,3,False
2024-03-03,9101dx,0.0,1295.2285826771654,10.2,0.0,456.0,True,0.1,03-03,6,3,False
2024-03-04,9101dx,0.0,1295.2285826771654,7.5,0.0,0.0,True,0.1,03-04,0,3,False
2024-03-05,9101dx,0.0,1295.2285826771654,7.0,1.8,6.0,True,0.1,03-05,1,3,False
2024-03-06,9101dx,0.0,1295.2285826771654,5.8,4.5,0.0,True,0.1,03-06,2,3,False
2024-03-07,9101dx,0.0,1295.2285826771654,4.5,0.0,138.0,True,0.1,03-07,3,3,False
2024-03-08,9101dx,0.0,1295.2285826771654,4.4,0.1,300.0,True,0.1,03-08,4,3,False
2024-03-09,9101dx,0.0,1295.2285826771654,8.7,0.0,450.0,True,0.1,03-09,5,3,False
2024-03-10,9101dx,0.0,1295.2285826771654,8.6,1.7,24.0,True,0.1,03-10,6,3,False
2024-03-11,9101dx,1.0,1751.26,8.8,0.0,366.0,True,0.1,03-11,0,3,False
2024-03-12,9101dx,0.0,1295.2285826771654,7.3,12.7,0.0,True,0.1,03-12,1,3,False
2024-03-13,9101dx,0.0,1295.2285826771654,8.5,0.3,0.0,True,0.1,03-13,2,3,False
2024-03-14,9101dx,0.0,1295.2285826771654,11.7,0.0,498.0,True,0.1,03-14,3,3,False
2024-03-15,9101dx,0.0,1295.2285826771654,12.8,2.6,276.0,True,0.1,03-15,4,3,False
2024-03-16,9101dx,0.0,1295.2285826771654,10.1,1.6,258.0,True,0.1,03-16,5,3,False
2024-03-17,9101dx,0.0,1295.2285826771654,9.0,0.7,276.0,True,0.1,03-17,6,3,False
2024-03-18,9101dx,1.0,1304.62,9.6,4.7,42.0,True,0.1,03-18,0,3,False
2024-03-19,9101dx,1.0,1304.62,10.8,0.0,492.0,True,0.1,03-19,1,3,False
2024-03-20,9101dx,0.0,1295.2285826771654,12.1,0.0,654.0,True,0.1,03-20,2,3,False
2024-03-21,9101dx,0.0,1295.2285826771654,12.2,0.0,258.0,True,0.1,03-21,3,3,False
2024-03-22,9101dx,0.0,1295.2285826771654,12.3,0.7,336.0,True,0.1,03-22,4,3,False
2024-03-23,9101dx,0.0,1295.2285826771654,7.5,6.0,204.0,True,0.1,03-23,5,3,False
2024-03-24,9101dx,0.0,1295.2285826771654,4.9,2.3,156.0,True,0.1,03-24,6,3,False
2024-03-25,9101dx,0.0,1295.2285826771654,7.2,0.0,612.0,True,0.1,03-25,0,3,False
2024-03-26,9101dx,0.0,1295.2285826771654,9.6,0.0,492.0,True,0.1,03-26,1,3,False
2024-03-27,9101dx,0.0,1295.2285826771654,8.1,3.1,192.0,True,0.1,03-27,2,3,False
2024-03-28,9101dx,1.0,1304.62,7.3,0.6,330.0,True,0.1,03-28,3,3,False
2024-03-29,9101dx,0.0,1295.2285826771654,10.6,2.3,180.0,True,0.1,03-29,4,3,True
2024-03-30,9101dx,0.0,1295.2285826771654,13.0,0.0,18.0,True,0.1,03-30,5,3,False
2024-03-31,9101dx,2.0,1299.185,13.2,0.1,450.0,True,0.1,03-31,6,3,False
2024-04-01,9101dx,0.0,1295.2285826771654,9.9,2.7,90.0,True,0.1,04-01,0,4,True
2024-04-02,9101dx,0.0,1295.2285826771654,10.1,0.2,492.0,True,0.1,04-02,1,4,False
2024-04-03,9101dx,0.0,1295.2285826771654,10.4,2.0,60.0,True,0.1,04-03,2,4,False
2024-04-04,9101dx,0.0,1295.2285826771654,12.9,1.1,192.0,True,0.1,04-04,3,4,False
2024-04-05,9101dx,0.0,1295.2285826771654,17.0,0.0,306.0,True,0.1,04-05,4,4,False
2024-04-06,9101dx,0.0,1295.2285826771654,19.9,0.0,642.0,True,0.1,04-06,5,4,False
2024-04-07,9101dx,0.0,1295.2285826771654,19.3,0.0,480.0,True,0.1,04-07,6,4,False
2024-04-08,9101dx,2.0,1343.9099999999999,21.3,0.0,486.0,True,0.1,04-08,0,4,False
2024-04-09,9101dx,0.0,1295.2285826771654,12.8,0.0,48.0,True,0.1,04-09,1,4,False
2024-04-10,9101dx,0.0,1295.2285826771654,9.7,0.0,492.0,True,0.1,04-10,2,4,False
2024-04-11,9101dx,0.0,1295.2285826771654,11.1,0.0,666.0,True,0.1,04-11,3,4,False
2024-04-12,9101dx,0.0,1295.2285826771654,14.0,0.0,720.0,True,0.1,04-12,4,4,False
2024-04-13,9101dx,0.0,1295.2285826771654,16.8,0.0,708.0,True,0.1,04-13,5,4,False
2024-04-14,9101dx,0.0,1295.2285826771654,18.5,0.3,672.0,True,0.1,04-14,6,4,False
2024-04-15,9101dx,0.0,1295.2285826771654,13.0,1.0,90.0,True,0.1,04-15,0,4,False
2024-04-16,9101dx,0.0,1295.2285826771654,7.5,5.1,288.0,True,0.1,04-16,1,4,False
2024-04-17,9101dx,0.0,1295.2285826771654,5.5,3.2,222.0,True,0.1,04-17,2,4,False
2024-04-18,9101dx,0.0,1295.2285826771654,5.1,2.1,204.0,True,0.1,04-18,3,4,False
2024-04-19,9101dx,0.0,1295.2285826771654,5.1,8.5,0.0,True,0.1,04-19,4,4,False
2024-04-20,9101dx,0.0,1295.2285826771654,5.4,2.7,258.0,True,0.1,04-20,5,4,False
2024-04-21,9101dx,0.0,1295.2285826771654,4.2,0.0,180.0,True,0.1,04-21,6,4,False
2024-04-22,9101dx,2.0,1355.44,4.8,0.0,384.0,True,0.1,04-22,0,4,False
2024-04-23,9101dx,0.0,1295.2285826771654,4.8,0.0,432.0,True,0.1,04-23,1,4,False
2024-04-24,9101dx,0.0,1295.2285826771654,4.0,2.3,210.0,True,0.1,04-24,2,4,False
2024-04-25,9101dx,0.0,1295.2285826771654,5.9,0.0,120.0,True,0.1,04-25,3,4,False
2024-04-26,9101dx,0.0,1295.2285826771654,8.6,0.1,186.0,True,0.1,04-26,4,4,False
2024-04-27,9101dx,0.0,1295.2285826771654,14.4,0.0,732.0,True,0.1,04-27,5,4,False
2024-04-28,9101dx,0.0,1295.2285826771654,13.5,0.0,150.0,True,0.1,04-28,6,4,False
2024-04-29,9101dx,1.0,1406.26,15.1,0.0,504.0,True,0.1,04-29,0,4,False
2024-04-30,9101dx,0.0,1295.2285826771654,18.2,0.0,684.0,True,0.1,04-30,1,4,False
2024-05-01,9101dx,0.0,1295.2285826771654,19.2,0.0,798.0,True,0.1,05-01,2,5,True
2024-05-02,9101dx,0.0,1295.2285826771654,15.0,7.4,342.0,True,0.15,05-02,3,5,False
2024-05-03,9101dx,1.0,1232.14,12.0,0.0,96.0,True,0.15,05-03,4,5,False
2024-05-04,9101dx,0.0,1295.2285826771654,14.3,0.0,360.0,True,0.15,05-04,5,5,False
2024-05-05,9101dx,0.0,1295.2285826771654,15.6,3.6,264.0,True,0.15,05-05,6,5,False
2024-05-06,9101dx,3.0,1228.72,13.8,1.5,0.0,True,0.15,05-06,0,5,False
2024-05-07,9101dx,0.0,1295.2285826771654,12.7,0.0,204.0,True,0.15,05-07,1,5,False
2024-05-08,9101dx,0.0,1295.2285826771654,11.5,0.0,24.0,True,0.15,05-08,2,5,False
2024-05-09,9101dx,1.0,1306.35,14.0,0.0,780.0,True,0.15,05-09,3,5,True
2024-05-10,9101dx,0.0,1295.2285826771654,15.7,0.0,828.0,True,0.15,05-10,4,5,False
2024-05-11,9101dx,0.0,1295.2285826771654,17.2,0.0,834.0,True,0.15,05-11,5,5,False
2024-05-12,9101dx,0.0,1295.2285826771654,18.8,0.0,858.0,True,0.15,05-12,6,5,False
2024-05-13,9101dx,0.0,1295.2285826771654,18.1,4.8,480.0,True,0.15,05-13,0,5,False
2024-05-14,9101dx,1.0,1232.14,19.2,0.0,840.0,True,0.15,05-14,1,5,False
2024-05-15,9101dx,1.0,1232.14,15.1,3.1,36.0,True,0.15,05-15,2,5,False
2024-05-16,9101dx,1.0,1356.38,15.9,52.9,498.0,True,0.15,05-16,3,5,False
2024-05-17,9101dx,0.0,1295.2285826771654,11.4,25.1,0.0,True,0.15,05-17,4,5,False
2024-05-18,9101dx,0.0,1295.2285826771654,14.4,2.2,408.0,True,0.15,05-18,5,5,False
2024-05-19,9101dx,0.0,1295.2285826771654,14.6,0.4,318.0,True,0.15,05-19,6,5,False
2024-05-20,9101dx,0.0,1295.2285826771654,17.0,1.8,720.0,True,0.15,05-20,0,5,True
2024-05-21,9101dx,0.0,1295.2285826771654,14.5,10.0,0.0,True,0.15,05-21,1,5,False
2024-05-22,9101dx,0.0,1295.2285826771654,15.2,2.7,276.0,True,0.15,05-22,2,5,False
2024-05-23,9101dx,1.0,1211.78,14.1,6.2,384.0,True,0.15,05-23,3,5,False
2024-05-24,9101dx,0.0,1295.2285826771654,13.6,0.5,180.0,True,0.15,05-24,4,5,False
2024-05-25,9101dx,0.0,1295.2285826771654,14.9,1.2,612.0,True,0.15,05-25,5,5,False
2024-05-26,9101dx,0.0,1295.2285826771654,16.9,2.1,570.0,True,0.15,05-26,6,5,False
2024-05-27,9101dx,1.0,1356.38,16.0,9.8,162.0,True,0.15,05-27,0,5,False
2024-05-28,9101dx,1.0,1356.38,15.2,0.0,768.0,True,0.15,05-28,1,5,False
2024-05-29,9101dx,0.0,1295.2285826771654,15.6,11.1,78.0,True,0.15,05-29,2,5,False
2024-05-30,9101dx,0.0,1295.2285826771654,16.0,0.8,558.0,True,0.15,05-30,3,5,True
2024-05-31,9101dx,1.0,1232.14,12.3,23.8,0.0,True,0.15,05-31,4,5,False
2024-06-01,9101dx,0.0,1295.2285826771654,13.5,16.7,0.0,False,0.0,06-01,5,6,False
2024-06-02,9101dx,0.0,1295.2285826771654,15.4,36.3,66.0,False,0.0,06-02,6,6,False
2024-06-03,9101dx,0.0,1295.2285826771654,14.0,0.0,42.0,False,0.0,06-03,0,6,False
2024-06-04,9101dx,0.0,1295.2285826771654,16.7,0.0,408.0,False,0.0,06-04,1,6,False
2024-06-05,9101dx,0.0,1295.2285826771654,17.5,0.0,300.0,False,0.0,06-05,2,6,False
2024-06-06,9101dx,0.0,1295.2285826771654,18.9,0.6,684.0,False,0.0,06-06,3,6,False
2024-06-07,9101dx,0.0,1295.2285826771654,19.3,0.0,798.0,False,0.0,06-07,4,6,False
2024-06-08,9101dx,0.0,1295.2285826771654,18.8,2.6,510.0,False,0.0,06-08,5,6,False
2024-06-09,9101dx,0.0,1295.2285826771654,18.3,0.0,516.0,False,0.0,06-09,6,6,False
2024-06-10,9101dx,1.0,1328.13,16.7,0.1,606.0,False,0.0,06-10,0,6,False
2024-06-11,9101dx,0.0,1295.2285826771654,13.1,1.0,552.0,False,0.0,06-11,1,6,False
2024-06-12,9101dx,0.0,1295.2285826771654,14.2,0.6,546.0,False,0.0,06-12,2,6,False
2024-06-13,9101dx,0.0,1295.2285826771654,14.9,0.0,756.0,False,0.0,06-13,3,6,False
2024-06-14,9101dx,0.0,1295.2285826771654,16.1,8.9,18.0,False,0.0,06-14,4,6,False
2024-06-15,9101dx,0.0,1295.2285826771654,16.6,0.1,486.0,False,0.0,06-15,5,6,False
2024-06-16,9101dx,0.0,1295.2285826771654,18.0,0.3,432.0,False,0.0,06-16,6,6,False
2024-06-17,9101dx,1.0,1356.38,18.9,0.1,234.0,False,0.0,06-17,0,6,False
2024-06-18,9101dx,0.0,1295.2285826771654,22.5,6.4,708.0,False,0.0,06-18,1,6,False
2024-06-19,9101dx,0.0,1295.2285826771654,20.6,0.5,384.0,False,0.0,06-19,2,6,False
2024-06-20,9101dx,0.0,1295.2285826771654,21.3,0.0,180.0,False,0.0,06-20,3,6,False
2024-06-21,9101dx,0.0,1295.2285826771654,20.6,1.1,138.0,False,0.0,06-21,4,6,False
2024-06-22,9101dx,0.0,1295.2285826771654,15.9,15.3,318.0,False,0.0,06-22,5,6,False
